Data Center,Network,Station,Station_Lat,Station_Lon
USP,BR,BOAV,2.3953,-60.5225
USP,BR,SGCB,-0.1223,-67.0306
USP,BR,NPGB,-7.0454,-55.3579
USP,BR,VILB,-12.9528,-60.2002
USP,BR,PRPB,-6.1724,-49.815
USP,BL,CLDB,-10.8732,-55.7965
USP,BR,ETMB,-9.81684,-66.21368
USP,BR,SDBA,-12.4085,-44.903
USP,BL,DIAM,-18.2952,-43.6648
USP,BR,JANB,-15.058097,-44.311197
USP,BR,ROSB,-2.8967,-44.1246
USP,BL,PEXB,-12.10584,-48.30085
USP,BL,AQDB,-20.47579,-55.69971
USP,BR,SALB,-15.90118,-55.69356
IRIS,ON,MAN01,-22.86516,-43.964092
IRIS,ON,NAN01,-17.844168,-40.125668
USP,BR,MACA,-3.1615,-60.6838
USP,BR,TBTG,-4.1868,-69.909
USP,BL,ITRB,-19.7042,-50.359
USP,BL,ITQB,-29.6638,-56.6275
USP,BL,PCMB,-21.6074,-51.2619
USP,BL,CNLB,-29.3148,-50.8533
USP,BL,BB19B,-21.0662,-48.5279
USP,BL,ITAB,-27.2349,-52.1313
USP,BL,PTGB,-24.72095,-52.01182
IRIS,BL,BESB,-6.657,-43.557999
USP,BR,TEFE,-3.50905,-64.6347
USP,BR,CZSB,-7.7299,-72.7049
